Hotel_Address,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Positive_Review,Review_Total_Positive_Word_Counts,Reviewer_Score,Tags,lat,lng
18 Main Street Vienna Austria,2025-07-21,7.5,Hotel Sacher Wien,Romania,"The minibar is absurdly priced, four euros for water. The air conditioning was broken for our entire stay. Housekeeping knocked at 8am despite the do not disturb sign.",28,No Positive,0,3.0,"[ 'Leisure trip', 'Family with young children', 'Stayed 2 nights', 'Standard Double Room', 'Submitted on desktop' ]",48.20257,16.37391
18 Main Street Vienna Austria,2025-03-05,7.5,Hotel Sacher Wien,France,No Negative,0,The location is convenient for the main station.,8,9.2,"[ 'Business trip', 'Couple', 'Stayed 2 nights', 'Superior Double Room', 'Submitted from a mobile device' ]",48.20257,16.37391
18 Main Street Vienna Austria,2025-01-14,7.5,Hotel Sacher Wien,Germany,No Negative,0,"Fast wifi, good desk, worked perfectly for my remote work mornings. Loved the design of the lobby and the rooms feel brand new.",23,10.0,"[ 'Business trip', 'Group', 'Stayed 3 nights', 'Deluxe Room', 'Submitted on desktop' ]",48.20257,16.37391
18 Main Street Vienna Austria,2025-10-15,7.5,Hotel Sacher Wien,Japan,Coffee at breakfast was undrinkable and the queue was long. WiFi kept dropping and the staff could not fix it.,20,Great value for money compared with other options in this city.,11,7.6,"[ 'Leisure trip', 'Couple', 'Stayed 5 nights', 'Double or Twin Room', 'Submitted on desktop' ]",48.20257,16.37391
18 Main Street Vienna Austria,2025-05-03,7.5,Hotel Sacher Wien,Spain,The air conditioning was broken for our entire stay. The elevator was out of service and we were on the 6th floor.,22,Beautiful historic building with modern renovated bathrooms. Easily the best hotel of our two week trip.,16,6.1,"[ 'Leisure trip', 'Couple', 'Stayed 1 night', 'Deluxe Room', 'Submitted on desktop' ]",48.20257,16.37391
18 Main Street Vienna Austria,2025-02-12,7.5,Hotel Sacher Wien,Netherlands,Our booking for a double bed became two singles pushed together. WiFi kept dropping and the staff could not fix it.,21,Our room was quiet even though the hotel is in the very centre. We will be back for sure.,19,8.4,"[ 'Leisure trip', 'Solo traveler', 'Stayed 1 night', 'Standard Double Room', 'Submitted from a mobile device' ]",48.20257,16.37391
18 Main Street Vienna Austria,2025-12-20,7.5,Hotel Sacher Wien,United Kingdom,"Walls are paper thin, we heard every word from the neighbours. We would not return.",15,No Positive,0,8.3,"[ 'Leisure trip', 'Solo traveler', 'Stayed 1 night', 'Deluxe Room', 'Submitted on desktop' ]",48.20257,16.37391
18 Main Street Vienna Austria,2025-10-08,7.5,Hotel Sacher Wien,Japan,The elevator was out of service and we were on the 6th floor. The safe in our room was broken and never repaired.,23,"The location was perfect, only a five minute walk to the old town.",13,5.5,"[ 'Leisure trip', 'Couple', 'Stayed 1 night', 'Suite', 'Submitted on desktop' ]",48.20257,16.37391
18 Main Street Vienna Austria,2025-07-28,7.5,Hotel Sacher Wien,Israel,No Negative,0,The concierge booked us a restaurant we could never have found. The bed was extremely comfortable and the shower pressure great.,21,9.3,"[ 'Leisure trip', 'Couple', 'Stayed 2 nights', 'Double or Twin Room', 'Submitted on desktop' ]",48.20257,16.37391
18 Main Street Vienna Austria,2025-06-18,7.5,Hotel Sacher Wien,Germany,No Negative,0,"Fast wifi, good desk, worked perfectly for my remote work mornings. The metro station is literally around the corner, so convenient.",21,10.0,"[ 'Leisure trip', 'Solo traveler', 'Stayed 1 night', 'Standard Double Room', 'Submitted from a mobile device' ]",48.20257,16.37391
18 Main Street Vienna Austria,2025-06-10,7.5,Hotel Sacher Wien,Switzerland,No Negative,0,Wonderful boutique feel and spotlessly clean throughout our stay. The rooftop bar has an amazing view over the city skyline.,20,10.0,"[ 'Leisure trip', 'Family with older children', 'Stayed 1 night', 'Standard Double Room', 'Submitted on desktop' ]",48.20257,16.37391
18 Main Street Vienna Austria,2025-07-11,7.5,Hotel Sacher Wien,Canada,"The minibar is absurdly priced, four euros for water. Hidden city tax and parking fees appeared at checkout. The air conditioning was broken for our entire stay.",27,"The metro station is literally around the corner, so convenient.",10,3.5,"[ 'Business trip', 'Family with older children', 'Stayed 3 nights', 'Double or Twin Room', 'Submitted from a mobile device' ]",48.20257,16.37391
21 Main Street London United Kingdom,2025-10-23,7.4,The Hoxton Shoreditch,Switzerland,No Negative,0,"Fast wifi, good desk, worked perfectly for my remote work mornings. Wonderful boutique feel and spotlessly clean throughout our stay.",20,10.0,"[ 'Leisure trip', 'Family with older children', 'Stayed 7 nights', 'Double or Twin Room', 'Submitted from a mobile device' ]",51.49793,-0.13382
21 Main Street London United Kingdom,2025-12-22,7.4,The Hoxton Shoreditch,United States of America,No Negative,0,The lobby is nicer than the rooms.,7,8.0,"[ 'Leisure trip', 'Group', 'Stayed 7 nights', 'Standard Double Room', 'Submitted on desktop' ]",51.49793,-0.13382
21 Main Street London United Kingdom,2025-11-15,7.4,The Hoxton Shoreditch,Switzerland,"The minibar is absurdly priced, four euros for water. Reception was rude when we asked for a late checkout.",19,The staff went above and beyond when our train was delayed.,11,5.5,"[ 'Business trip', 'Solo traveler', 'Stayed 1 night', 'Superior Double Room', 'Submitted on desktop' ]",51.49793,-0.13382
21 Main Street London United Kingdom,2025-02-09,7.4,The Hoxton Shoreditch,Australia,Our room was not ready at 4pm and we waited an hour in the lobby. Not worth the price we paid.,21,The view from the 8th floor over the river was unforgettable. Easily the best hotel of our two week trip.,20,5.3,"[ 'Leisure trip', 'Solo traveler', 'Stayed 7 nights', 'Standard Double Room', 'Submitted on desktop' ]",51.49793,-0.13382
21 Main Street London United Kingdom,2025-05-10,7.4,The Hoxton Shoreditch,Turkey,"The minibar is absurdly priced, four euros for water. The elevator was out of service and we were on the 6th floor. We would not return.",26,No Positive,0,5.5,"[ 'Business trip', 'Solo traveler', 'Stayed 1 night', 'Standard Double Room', 'Submitted on desktop' ]",51.49793,-0.13382
21 Main Street London United Kingdom,2025-09-05,7.4,The Hoxton Shoreditch,Israel,No Negative,0,The lobby is nicer than the rooms.,7,9.8,"[ 'Leisure trip', 'Couple', 'Stayed 4 nights', 'Suite', 'Submitted from a mobile device' ]",51.49793,-0.13382
21 Main Street London United Kingdom,2025-08-15,7.4,The Hoxton Shoreditch,France,The bathroom smelled of mould and the drain was clogged.,10,Kids loved the pool and the staff treated them wonderfully.,10,4.4,"[ 'Leisure trip', 'Solo traveler', 'Stayed 5 nights', 'Superior Double Room', 'Submitted on desktop' ]",51.49793,-0.13382
21 Main Street London United Kingdom,2025-12-08,7.4,The Hoxton Shoreditch,Israel,Construction next door started drilling at seven in the morning.,10,The bed was extremely comfortable and the shower pressure great. The rooftop bar has an amazing view over the city skyline.,21,8.8,"[ 'Leisure trip', 'Family with young children', 'Stayed 5 nights', 'Suite', 'Submitted from a mobile device' ]",51.49793,-0.13382
21 Main Street London United Kingdom,2025-10-02,7.4,The Hoxton Shoreditch,United Kingdom,Noise from the street kept us awake until 3am.,9,No Positive,0,5.8,"[ 'Leisure trip', 'Group', 'Stayed 5 nights', 'Deluxe Room', 'Submitted on desktop' ]",51.49793,-0.13382
21 Main Street London United Kingdom,2025-11-18,7.4,The Hoxton Shoreditch,Israel,No Negative,0,"Perfect base for sightseeing, every landmark within walking distance. Would definitely stay here again on our next trip.",18,9.6,"[ 'Business trip', 'Solo traveler', 'Stayed 4 nights', 'Deluxe Room', 'Submitted on desktop' ]",51.49793,-0.13382
21 Main Street London United Kingdom,2025-06-28,7.4,The Hoxton Shoreditch,Canada,"The minibar is absurdly priced, four euros for water. Construction next door started drilling at seven in the morning. We would not return.",23,Our room was quiet even though the hotel is in the very centre.,13,5.0,"[ 'Leisure trip', 'Solo traveler', 'Stayed 2 nights', 'Superior Double Room', 'Submitted from a mobile device' ]",51.49793,-0.13382
21 Main Street London United Kingdom,2025-10-14,7.4,The Hoxton Shoreditch,Switzerland,Our room was not ready at 4pm and we waited an hour in the lobby. The bathroom smelled of mould and the drain was clogged.,25,No Positive,0,8.2,"[ 'Leisure trip', 'Family with older children', 'Stayed 4 nights', 'Double or Twin Room', 'Submitted from a mobile device' ]",51.49793,-0.13382
21 Main Street London United Kingdom,2025-04-07,7.4,The Hoxton Shoreditch,Belgium,No Negative,0,The lobby is nicer than the rooms.,7,9.0,"[ 'Leisure trip', 'Family with older children', 'Stayed 5 nights', 'Double or Twin Room', 'Submitted on desktop' ]",51.49793,-0.13382
21 Main Street London United Kingdom,2025-05-24,7.4,The Hoxton Shoreditch,Brazil,No Negative,0,"Perfect base for sightseeing, every landmark within walking distance. Worth every euro.",12,8.6,"[ 'Leisure trip', 'Solo traveler', 'Stayed 4 nights', 'Suite', 'Submitted on desktop' ]",51.49793,-0.13382
24 Main Street Madrid Spain,2025-10-22,8.5,Riu Plaza Espana,United States of America,Reception was rude when we asked for a late checkout. The mattress was sagging and clearly needed replacement.,18,No Positive,0,7.9,"[ 'Business trip', 'Group', 'Stayed 5 nights', 'Suite', 'Submitted on desktop' ]",40.4198,-3.7029
24 Main Street Madrid Spain,2025-03-23,8.5,Riu Plaza Espana,Canada,No Negative,0,Our room was quiet even though the hotel is in the very centre.,13,9.2,"[ 'Leisure trip', 'Couple', 'Stayed 2 nights', 'Deluxe Room', 'Submitted on desktop' ]",40.4198,-3.7029
24 Main Street Madrid Spain,2025-09-27,8.5,Riu Plaza Espana,Spain,Reception was rude when we asked for a late checkout. The mattress was sagging and clearly needed replacement.,18,"The metro station is literally around the corner, so convenient.",10,9.4,"[ 'Leisure trip', 'Couple', 'Stayed 5 nights', 'Deluxe Room', 'Submitted from a mobile device' ]",40.4198,-3.7029
24 Main Street Madrid Spain,2025-10-16,8.5,Riu Plaza Espana,Romania,"Breakfast was chaotic, tables never cleaned, food ran out early. Our room was not ready at 4pm and we waited an hour in the lobby. Management really needs to address this.",31,Our room was quiet even though the hotel is in the very centre. Check in was fast and the receptionist upgraded us for free.,24,8.7,"[ 'Leisure trip', 'Group', 'Stayed 4 nights', 'Suite', 'Submitted on desktop' ]",40.4198,-3.7029
24 Main Street Madrid Spain,2025-12-24,8.5,Riu Plaza Espana,Brazil,No Negative,0,Fine for a one night stopover.,6,9.8,"[ 'Leisure trip', 'Couple', 'Stayed 3 nights', 'Superior Double Room', 'Submitted on desktop' ]",40.4198,-3.7029
24 Main Street Madrid Spain,2025-06-22,8.5,Riu Plaza Espana,Italy,"Hidden city tax and parking fees appeared at checkout. Construction next door started drilling at seven in the morning. Walls are paper thin, we heard every word from the neighbours. Management really needs to address this.",36,"The metro station is literally around the corner, so convenient. Highly recommended for couples on a city break.",18,5.5,"[ 'Business trip', 'Solo traveler', 'Stayed 3 nights', 'Deluxe Room', 'Submitted on desktop' ]",40.4198,-3.7029
24 Main Street Madrid Spain,2025-10-22,8.5,Riu Plaza Espana,Brazil,The air conditioning was broken for our entire stay. Disappointing for a hotel with this rating.,16,Loved the design of the lobby and the rooms feel brand new.,12,9.1,"[ 'Leisure trip', 'Group', 'Stayed 2 nights', 'Suite', 'Submitted from a mobile device' ]",40.4198,-3.7029
24 Main Street Madrid Spain,2025-03-04,8.5,Riu Plaza Espana,Netherlands,No Negative,0,Wonderful boutique feel and spotlessly clean throughout our stay. Beautiful historic building with modern renovated bathrooms. Highly recommended for couples on a city break.,24,8.7,"[ 'Leisure trip', 'Couple', 'Stayed 7 nights', 'Deluxe Room', 'Submitted from a mobile device' ]",40.4198,-3.7029
24 Main Street Madrid Spain,2025-09-06,8.5,Riu Plaza Espana,United States of America,No Negative,0,The rooftop bar has an amazing view over the city skyline.,11,8.8,"[ 'Leisure trip', 'Couple', 'Stayed 1 night', 'Suite', 'Submitted from a mobile device' ]",40.4198,-3.7029
24 Main Street Madrid Spain,2025-03-14,8.5,Riu Plaza Espana,Ireland,"The pool photos are misleading, it is tiny and cold.",10,No Positive,0,4.2,"[ 'Leisure trip', 'Couple', 'Stayed 1 night', 'Standard Double Room', 'Submitted on desktop' ]",40.4198,-3.7029
24 Main Street Madrid Spain,2025-06-10,8.5,Riu Plaza Espana,Italy,No Negative,0,"The metro station is literally around the corner, so convenient. Our room was quiet even though the hotel is in the very centre.",23,9.5,"[ 'Business trip', 'Solo traveler', 'Stayed 3 nights', 'Superior Double Room', 'Submitted on desktop' ]",40.4198,-3.7029
24 Main Street Madrid Spain,2025-01-24,8.5,Riu Plaza Espana,Netherlands,"The pool photos are misleading, it is tiny and cold.",10,Great value for money compared with other options in this city.,11,8.9,"[ 'Leisure trip', 'Couple', 'Stayed 7 nights', 'Double or Twin Room', 'Submitted from a mobile device' ]",40.4198,-3.7029
24 Main Street Madrid Spain,2025-04-01,8.5,Riu Plaza Espana,United States of America,No Negative,0,Fine for a one night stopover.,6,9.7,"[ 'Leisure trip', 'Couple', 'Stayed 3 nights', 'Standard Double Room', 'Submitted on desktop' ]",40.4198,-3.7029
24 Main Street Madrid Spain,2025-08-10,8.5,Riu Plaza Espana,Poland,No Negative,0,Loved the design of the lobby and the rooms feel brand new. Breakfast had a huge spread with fresh pastries and good coffee.,23,10.0,"[ 'Leisure trip', 'Group', 'Stayed 2 nights', 'Superior Double Room', 'Submitted on desktop' ]",40.4198,-3.7029
27 Main Street Lyon France,2025-10-12,7.8,Hotel de la Cite,Brazil,"The minibar is absurdly priced, four euros for water.",9,Check in was fast and the receptionist upgraded us for free. The staff went above and beyond when our train was delayed.,22,8.4,"[ 'Leisure trip', 'Couple', 'Stayed 5 nights', 'Suite', 'Submitted from a mobile device' ]",45.75841,4.83749
27 Main Street Lyon France,2025-06-28,7.8,Hotel de la Cite,Poland,"The air conditioning was broken for our entire stay. The minibar is absurdly priced, four euros for water.",18,No Positive,0,7.3,"[ 'Business trip', 'Couple', 'Stayed 4 nights', 'Suite', 'Submitted from a mobile device' ]",45.75841,4.83749
27 Main Street Lyon France,2025-05-24,7.8,Hotel de la Cite,France,Reception was rude when we asked for a late checkout.,10,Room service arrived hot and faster than promised. Easily the best hotel of our two week trip.,17,8.9,"[ 'Leisure trip', 'Solo traveler', 'Stayed 4 nights', 'Double or Twin Room', 'Submitted from a mobile device' ]",45.75841,4.83749
27 Main Street Lyon France,2025-11-24,7.8,Hotel de la Cite,Switzerland,"The pool photos are misleading, it is tiny and cold. Coffee at breakfast was undrinkable and the queue was long.",20,"Perfect base for sightseeing, every landmark within walking distance.",9,6.1,"[ 'Business trip', 'Couple', 'Stayed 1 night', 'Superior Double Room', 'Submitted on desktop' ]",45.75841,4.83749
27 Main Street Lyon France,2025-12-08,7.8,Hotel de la Cite,Germany,The heating could not be turned off and the room was 28 degrees. Construction next door started drilling at seven in the morning.,23,No Positive,0,4.4,"[ 'Business trip', 'Group', 'Stayed 4 nights', 'Standard Double Room', 'Submitted from a mobile device' ]",45.75841,4.83749
27 Main Street Lyon France,2025-12-25,7.8,Hotel de la Cite,Spain,No Negative,0,"The location was perfect, only a five minute walk to the old town. Check in was fast and the receptionist upgraded us for free. Would definitely stay here again on our next trip.",33,9.7,"[ 'Leisure trip', 'Couple', 'Stayed 2 nights', 'Double or Twin Room', 'Submitted on desktop' ]",45.75841,4.83749
27 Main Street Lyon France,2025-01-05,7.8,Hotel de la Cite,Japan,No Negative,0,Room service arrived hot and faster than promised. Worth every euro.,11,9.7,"[ 'Leisure trip', 'Group', 'Stayed 3 nights', 'Superior Double Room', 'Submitted on desktop' ]",45.75841,4.83749
27 Main Street Lyon France,2025-05-09,7.8,Hotel de la Cite,France,Reception was rude when we asked for a late checkout.,10,The spa and sauna were a lovely surprise after a long flight. Kids loved the pool and the staff treated them wonderfully.,22,9.5,"[ 'Leisure trip', 'Couple', 'Stayed 4 nights', 'Superior Double Room', 'Submitted from a mobile device' ]",45.75841,4.83749
27 Main Street Lyon France,2025-08-08,7.8,Hotel de la Cite,Australia,Noise from the street kept us awake until 3am. Construction next door started drilling at seven in the morning. Housekeeping knocked at 8am despite the do not disturb sign.,29,Our room was quiet even though the hotel is in the very centre.,13,4.9,"[ 'Business trip', 'Couple', 'Stayed 2 nights', 'Standard Double Room', 'Submitted from a mobile device' ]",45.75841,4.83749
27 Main Street Lyon France,2025-06-03,7.8,Hotel de la Cite,Brazil,No Negative,0,The lobby is nicer than the rooms.,7,9.2,"[ 'Leisure trip', 'Solo traveler', 'Stayed 2 nights', 'Suite', 'Submitted on desktop' ]",45.75841,4.83749
27 Main Street Lyon France,2025-04-28,7.8,Hotel de la Cite,Canada,"Breakfast was chaotic, tables never cleaned, food ran out early.",10,The rooftop bar has an amazing view over the city skyline.,11,6.1,"[ 'Business trip', 'Group', 'Stayed 4 nights', 'Superior Double Room', 'Submitted on desktop' ]",45.75841,4.83749
27 Main Street Lyon France,2025-09-21,7.8,Hotel de la Cite,United States of America,No Negative,0,"The metro station is literally around the corner, so convenient.",10,9.8,"[ 'Leisure trip', 'Couple', 'Stayed 2 nights', 'Standard Double Room', 'Submitted on desktop' ]",45.75841,4.83749
27 Main Street Lyon France,2025-04-24,7.8,Hotel de la Cite,Turkey,"The elevator was out of service and we were on the 6th floor. The pool photos are misleading, it is tiny and cold.",23,Loved the design of the lobby and the rooms feel brand new. We will be back for sure.,18,8.0,"[ 'Leisure trip', 'Family with older children', 'Stayed 4 nights', 'Deluxe Room', 'Submitted on desktop' ]",45.75841,4.83749
27 Main Street Lyon France,2025-12-18,7.8,Hotel de la Cite,Netherlands,The air conditioning was broken for our entire stay.,9,Beautiful historic building with modern renovated bathrooms. Wonderful boutique feel and spotlessly clean throughout our stay.,16,9.5,"[ 'Leisure trip', 'Couple', 'Stayed 2 nights', 'Superior Double Room', 'Submitted from a mobile device' ]",45.75841,4.83749
27 Main Street Lyon France,2025-09-15,7.8,Hotel de la Cite,France,Housekeeping knocked at 8am despite the do not disturb sign. The room was much smaller than the photos suggested.,19,"The metro station is literally around the corner, so convenient. The location was perfect, only a five minute walk to the old town. Worth every euro.",26,8.4,"[ 'Leisure trip', 'Couple', 'Stayed 5 nights', 'Deluxe Room', 'Submitted on desktop' ]",45.75841,4.83749
27 Main Street Lyon France,2025-02-17,7.8,Hotel de la Cite,Spain,Reception was rude when we asked for a late checkout. Hidden city tax and parking fees appeared at checkout.,19,No Positive,0,7.4,"[ 'Leisure trip', 'Solo traveler', 'Stayed 5 nights', 'Superior Double Room', 'Submitted on desktop' ]",45.75841,4.83749
27 Main Street Lyon France,2025-02-21,7.8,Hotel de la Cite,Belgium,"The pool photos are misleading, it is tiny and cold.",10,No Positive,0,5.2,"[ 'Leisure trip', 'Couple', 'Stayed 7 nights', 'Superior Double Room', 'Submitted from a mobile device' ]",45.75841,4.83749
27 Main Street Lyon France,2025-06-19,7.8,Hotel de la Cite,Italy,Noise from the street kept us awake until 3am. The elevator was out of service and we were on the 6th floor. Our room was not ready at 4pm and we waited an hour in the lobby.,37,No Positive,0,4.9,"[ 'Leisure trip', 'Family with older children', 'Stayed 1 night', 'Double or Twin Room', 'Submitted on desktop' ]",45.75841,4.83749
27 Main Street Lyon France,2025-10-22,7.8,Hotel de la Cite,Switzerland,No Negative,0,The rooftop bar has an amazing view over the city skyline.,11,9.7,"[ 'Leisure trip', 'Solo traveler', 'Stayed 3 nights', 'Superior Double Room', 'Submitted on desktop' ]",45.75841,4.83749
27 Main Street Lyon France,2025-09-11,7.8,Hotel de la Cite,Switzerland,No Negative,0,The staff went above and beyond when our train was delayed. Beautiful historic building with modern renovated bathrooms.,18,9.3,"[ 'Leisure trip', 'Couple', 'Stayed 2 nights', 'Double or Twin Room', 'Submitted on desktop' ]",45.75841,4.83749
30 Main Street Berlin Germany,2025-06-01,5.9,Generator Hostel Mitte,Netherlands,Housekeeping knocked at 8am despite the do not disturb sign. The bathroom smelled of mould and the drain was clogged.,20,Check in was fast and the receptionist upgraded us for free. Easily the best hotel of our two week trip.,20,5.5,"[ 'Leisure trip', 'Family with older children', 'Stayed 2 nights', 'Double or Twin Room', 'Submitted from a mobile device' ]",52.52619,13.39513
30 Main Street Berlin Germany,2025-11-05,5.9,Generator Hostel Mitte,Japan,The heating could not be turned off and the room was 28 degrees. Reception was rude when we asked for a late checkout.,23,Breakfast had a huge spread with fresh pastries and good coffee. We will be back for sure.,17,3.9,"[ 'Leisure trip', 'Family with young children', 'Stayed 4 nights', 'Deluxe Room', 'Submitted on desktop' ]",52.52619,13.39513
30 Main Street Berlin Germany,2025-01-03,5.9,Generator Hostel Mitte,Italy,"The pool photos are misleading, it is tiny and cold. The room was much smaller than the photos suggested. Disappointing for a hotel with this rating.",26,No Positive,0,8.7,"[ 'Business trip', 'Family with young children', 'Stayed 7 nights', 'Deluxe Room', 'Submitted from a mobile device' ]",52.52619,13.39513
30 Main Street Berlin Germany,2025-08-05,5.9,Generator Hostel Mitte,Germany,No Negative,0,Loved the design of the lobby and the rooms feel brand new.,12,8.4,"[ 'Leisure trip', 'Group', 'Stayed 7 nights', 'Deluxe Room', 'Submitted on desktop' ]",52.52619,13.39513
30 Main Street Berlin Germany,2025-03-10,5.9,Generator Hostel Mitte,Israel,No Negative,0,The view from the 8th floor over the river was unforgettable.,11,8.9,"[ 'Leisure trip', 'Couple', 'Stayed 7 nights', 'Suite', 'Submitted from a mobile device' ]",52.52619,13.39513
30 Main Street Berlin Germany,2025-12-07,5.9,Generator Hostel Mitte,Germany,"Walls are paper thin, we heard every word from the neighbours. Our booking for a double bed became two singles pushed together.",22,No Positive,0,8.7,"[ 'Leisure trip', 'Couple', 'Stayed 3 nights', 'Deluxe Room', 'Submitted on desktop' ]",52.52619,13.39513
30 Main Street Berlin Germany,2025-09-06,5.9,Generator Hostel Mitte,Canada,The heating could not be turned off and the room was 28 degrees. Our room was not ready at 4pm and we waited an hour in the lobby. Coffee at breakfast was undrinkable and the queue was long.,38,No Positive,0,5.3,"[ 'Leisure trip', 'Couple', 'Stayed 7 nights', 'Deluxe Room', 'Submitted from a mobile device' ]",52.52619,13.39513
30 Main Street Berlin Germany,2025-11-05,5.9,Generator Hostel Mitte,Australia,Our booking for a double bed became two singles pushed together.,11,"Fast wifi, good desk, worked perfectly for my remote work mornings.",11,5.5,"[ 'Leisure trip', 'Couple', 'Stayed 3 nights', 'Suite', 'Submitted on desktop' ]",52.52619,13.39513
30 Main Street Berlin Germany,2025-04-22,5.9,Generator Hostel Mitte,Japan,"Coffee at breakfast was undrinkable and the queue was long. Noise from the street kept us awake until 3am. The pool photos are misleading, it is tiny and cold.",29,No Positive,0,3.9,"[ 'Leisure trip', 'Solo traveler', 'Stayed 1 night', 'Double or Twin Room', 'Submitted from a mobile device' ]",52.52619,13.39513
30 Main Street Berlin Germany,2025-09-19,5.9,Generator Hostel Mitte,Belgium,"Reception was rude when we asked for a late checkout. The pool photos are misleading, it is tiny and cold.",20,No Positive,0,5.2,"[ 'Business trip', 'Couple', 'Stayed 1 night', 'Deluxe Room', 'Submitted from a mobile device' ]",52.52619,13.39513
30 Main Street Berlin Germany,2025-02-04,5.9,Generator Hostel Mitte,Poland,"Walls are paper thin, we heard every word from the neighbours. The mattress was sagging and clearly needed replacement.",19,No Positive,0,3.9,"[ 'Leisure trip', 'Couple', 'Stayed 4 nights', 'Double or Twin Room', 'Submitted on desktop' ]",52.52619,13.39513
30 Main Street Berlin Germany,2025-05-02,5.9,Generator Hostel Mitte,Israel,The mattress was sagging and clearly needed replacement.,8,No Positive,0,5.5,"[ 'Business trip', 'Group', 'Stayed 5 nights', 'Superior Double Room', 'Submitted on desktop' ]",52.52619,13.39513
30 Main Street Berlin Germany,2025-08-08,5.9,Generator Hostel Mitte,Germany,Housekeeping knocked at 8am despite the do not disturb sign.,10,No Positive,0,5.7,"[ 'Business trip', 'Solo traveler', 'Stayed 5 nights', 'Deluxe Room', 'Submitted on desktop' ]",52.52619,13.39513
30 Main Street Berlin Germany,2025-12-26,5.9,Generator Hostel Mitte,Ireland,The bathroom smelled of mould and the drain was clogged. Reception was rude when we asked for a late checkout. The mattress was sagging and clearly needed replacement. Not worth the price we paid.,34,No Positive,0,3.7,"[ 'Leisure trip', 'Couple', 'Stayed 5 nights', 'Deluxe Room', 'Submitted on desktop' ]",52.52619,13.39513
33 Main Street Prague Czech Republic,2025-08-20,7.4,Grand Hotel Europa,Switzerland,"The mattress was sagging and clearly needed replacement. Breakfast was chaotic, tables never cleaned, food ran out early. Not worth the price we paid.",24,The view from the 8th floor over the river was unforgettable. Room service arrived hot and faster than promised. Highly recommended for couples on a city break.,27,8.2,"[ 'Business trip', 'Couple', 'Stayed 4 nights', 'Suite', 'Submitted from a mobile device' ]",50.08162,14.44176
33 Main Street Prague Czech Republic,2025-08-21,7.4,Grand Hotel Europa,Switzerland,WiFi kept dropping and the staff could not fix it. Disappointing for a hotel with this rating.,17,Kids loved the pool and the staff treated them wonderfully. Great value for money compared with other options in this city.,21,9.4,"[ 'Leisure trip', 'Couple', 'Stayed 4 nights', 'Superior Double Room', 'Submitted from a mobile device' ]",50.08162,14.44176
33 Main Street Prague Czech Republic,2025-09-21,7.4,Grand Hotel Europa,Canada,No Negative,0,"Fast wifi, good desk, worked perfectly for my remote work mornings. The metro station is literally around the corner, so convenient. Worth every euro.",24,8.7,"[ 'Business trip', 'Family with older children', 'Stayed 1 night', 'Standard Double Room', 'Submitted from a mobile device' ]",50.08162,14.44176
33 Main Street Prague Czech Republic,2025-08-19,7.4,Grand Hotel Europa,Spain,Hidden city tax and parking fees appeared at checkout. Construction next door started drilling at seven in the morning. Reception was rude when we asked for a late checkout.,29,Beautiful historic building with modern renovated bathrooms. Would definitely stay here again on our next trip.,16,5.4,"[ 'Leisure trip', 'Group', 'Stayed 4 nights', 'Double or Twin Room', 'Submitted on desktop' ]",50.08162,14.44176
33 Main Street Prague Czech Republic,2025-01-15,7.4,Grand Hotel Europa,Belgium,No Negative,0,The location is convenient for the main station.,8,9.4,"[ 'Business trip', 'Group', 'Stayed 7 nights', 'Suite', 'Submitted on desktop' ]",50.08162,14.44176
33 Main Street Prague Czech Republic,2025-03-26,7.4,Grand Hotel Europa,Japan,Construction next door started drilling at seven in the morning. Hidden city tax and parking fees appeared at checkout.,19,No Positive,0,7.5,"[ 'Leisure trip', 'Family with older children', 'Stayed 5 nights', 'Standard Double Room', 'Submitted on desktop' ]",50.08162,14.44176
33 Main Street Prague Czech Republic,2025-11-27,7.4,Grand Hotel Europa,Belgium,WiFi kept dropping and the staff could not fix it. The elevator was out of service and we were on the 6th floor. Management really needs to address this.,29,Our room was quiet even though the hotel is in the very centre.,13,9.1,"[ 'Leisure trip', 'Solo traveler', 'Stayed 2 nights', 'Suite', 'Submitted on desktop' ]",50.08162,14.44176
33 Main Street Prague Czech Republic,2025-02-21,7.4,Grand Hotel Europa,Australia,"The minibar is absurdly priced, four euros for water. Hidden city tax and parking fees appeared at checkout.",18,No Positive,0,5.8,"[ 'Leisure trip', 'Solo traveler', 'Stayed 3 nights', 'Suite', 'Submitted from a mobile device' ]",50.08162,14.44176
33 Main Street Prague Czech Republic,2025-08-21,7.4,Grand Hotel Europa,Romania,Our room was not ready at 4pm and we waited an hour in the lobby.,15,Kids loved the pool and the staff treated them wonderfully. Easily the best hotel of our two week trip.,19,4.9,"[ 'Leisure trip', 'Couple', 'Stayed 5 nights', 'Suite', 'Submitted from a mobile device' ]",50.08162,14.44176
33 Main Street Prague Czech Republic,2025-11-25,7.4,Grand Hotel Europa,Netherlands,"The room was much smaller than the photos suggested. Breakfast was chaotic, tables never cleaned, food ran out early.",19,No Positive,0,7.5,"[ 'Leisure trip', 'Couple', 'Stayed 4 nights', 'Superior Double Room', 'Submitted on desktop' ]",50.08162,14.44176
